No,user_name,text,label
50,Erni Putri,marilah gendong !tata olah vaksinasi covid-19 biar kelompok Sumut sukarela dari covid-19 #vaksinasi https://t.co/oFdqOdrUSS,positif
51,Zara Ayu,marilah bawa !!berjiwa bugar minus covid-19 dengan mengadakan vaksinasi covid-19 #vaksinasi https://t.co/zGhi5xc1e6,positif
52,Syifa Tiana,ayok dkng !!hidupku sehad tampa Covid-19 dgn mlkukn vaksinasi covid-19 #vaksinasi https://t.co/pHHSJt4OZp,positif
53,Hanifah Putri,cantik rohaniwan RI yakinkan vaksin covid-19 dari sinovac resmi dan nirmala #vaksinasi https://t.co/qa91nsAh6r,positif
54,Gina Amelia,ayoo ndukung !prgrm vaksinasi covid-19 spya wargi Sumut bbs dri covid-19 #vaksinasi https://t.co/Ff7eBjmm5P,positif
55,Cika maulani,silAkan gendong !!bernapas afiat sonder covid-19 dengan melaksanAkan vaksinasi covid-19 #vaksinasi https://t.co/W3J9t1SSdN,positif
56,Hanin Dita,nyok suport !!hdup shat tampa Covid-19 dngan melakukn vaksinasi covid-19 #vaksinasi https://t.co/zoPQQaDLfg,positif
57,Mia Amelia,ayoo ndukung !prgrm vaksinasi covid-19 spy wrga Sumut bbs dr covid-19 #vaksinasi https://t.co/zI3OIVyQvZ,positif
58,Sukma Putri,yuk bawa !tata olah vaksinasi covid-19 biar bani Provinsi Sumatera Utara independen dari covid-19 #vaksinasi https://t.co/rOyhxgkgrI,positif
59,MNC Trijaya 104.6 FM,Saksikan Live Press Conference dengan topik Hasil Evaluasi Uji Klinik Terkait Persetujuan Penggunaan Darurat/Ermegeâ€¦ https://t.co/It1ddIaEs8,positif
60,newsmerahputih,"Kenali fakta-fakta penting tentang vaksin COVID-19.

#merahputihcom #covid19 #vaksin https://t.co/nqioB3wi7r",positif
61,Berita Covid,"#Vaksinasi COVID-19 di Sumut dimulai dari Medan, Binjai dan Deliserdang - ANTARA #Covid #Covid19 https://t.co/CFUyHgVmxu",positif
62,Rakyat Merdeka,"Bila Ada Efek Samping Vaksin Pemerintah Tanggung Biaya Perawatan

#VaksinasiCovid19 #SitiNadia #Pemerintahâ€¦ https://t.co/kPJpqOfNOf",positif
63,Indonesia Baik,"Hi sohIB!
Menurut petunjuk resmi pelaksanaan vaksinasi Covid-19, individu yg tlh divaksin disarankan tdk lgsg plg uâ€¦ https://t.co/YdM2MqgapZ",positif
64,Rakyat Merdeka,"Besok, 15 Juta Bahan Baku Vaksin Covid Bakal Tiba Di Tanah Air

@BudiGSadikin #BahanBaku #VaksinCovid19â€¦ https://t.co/oKiGYpCSrZ",positif
65,Muhammadiyah,"Menurut @Abe_Mukti Muhammadiyah sendiri memiliki tiga sikap terkait program vaksinasi pemerintah. Pertama, Muhammaâ€¦ https://t.co/8JDdxsTkRb",positif
66,Muhammadiyah,"Kedua, jika syarat pertama terpenuhi Muhammadiyah menurutnya akan mendukung agar vaksinasi berjalan dengan sebaik-bâ€¦ https://t.co/FidrmMU8Qu",positif
67,Muhammadiyah,"Ketiga, Muhammadiyah meminta kepada semua pihak untuk menjadikan program vaksinasi sebagai gerakan sosial yang dipeâ€¦ https://t.co/bMQb06Q6Bo",positif
68,MNC Trijaya 104.6 FM,"Izin penggunaan darurat vaksin Sinovac diumumkan Kepala BPOM Penny K. Lukito dalam konferensi pers secara virtual,â€¦ https://t.co/uvQ6j9Thau",positif
69,Validnews Indonesia,"Insyaallah berita baik dari Badan Pengawas Obat dan Makanan (BPOM) juga bisa segera menyusul,"" ujar Budi Gunadi.â€¦ https://t.co/K7rMdy81Z6",positif
70,Indonesia Baik,"Tahukah kamu, SohIB?
Komisi Fatwa @MUIPusat menetapkan #Vaksin #COVID19 Halal &amp; Suci.

Dan baru2 ini, @BPOM_RI sudaâ€¦ https://t.co/0JibiZklm0",positif
71,DW Indonesia,"21 Desember 2020, Badan Pengawas Obat Eropa (EMA) dan Komisi Eropa mengizinkan penggunaan #vaksin virus coronaâ€¦ https://t.co/y4ddLmGwL9",positif
72,Eka Hospital,"Yuk cek faktanya seputar vaksin virus corona di IG Live Eka Hospital bersama @sinar_masid pada hari Rabu, 13 Januarâ€¦ https://t.co/0WO4Sfnje9",positif
73,Independen.id,"BPOM Beri Izin Vaksin Sinovac dgn Efikasi 65,3% https://t.co/ernQoAgkmK #vaksin #COVID19",positif
74,simmanews,"info, Pekan ini tenaga kesehatan di Jabar mulai suntik vaksin Covid cek disini untuk selengkapnyaâ€¦ https://t.co/msZcLrS0lP",positif
75,R = ?,"BPOM Resmi Keluarkan EUA Untuk Vaksin Sinovac

https://t.co/UHFzi6uvJH

#idnglobe #vaksin #izindarurat #bpom",positif
76,Fix Makassar,BPOM (@BPOM_RI) akhirnya mengeluarkan izin penggunaan darurat atau EUA untuk vaksin Covid-19. Penny menyebutkan sudâ€¦ https://t.co/lXf99CcXwL,positif
77,TIMES INDONESIA,Ketua Badan Pengawas Obat dan Makanan (BPOM) Penny Lukito memberikan izin penggunaan darurat atau Emergency Use Autâ€¦ https://t.co/UtRNhkDfvo,positif
78,gian fitriyani,"Siapa saja yg tidak boleh di Vaksin COVID19?

ðŸŽµ Aya Nakamura - Copines
#vaccines #vaccination #vaksinâ€¦ https://t.co/IK5ByRrL4S",positif
79,windy wardani,"BPOM Terbitkan izin penggunaan darurat vaksin Covid19 buatan sinovac
#vaksin #sinovachalal #vaksÃ¬ncovid19â€¦ https://t.co/4cDaCr3hKh",positif
80,windy wardani,"Lusa Vaksinasi akan Dimulai
#vaksin #sinovachalal #vaksÃ¬ncovid19 #vaksingratisutkrakyat #covid19indonesia #Covid19â€¦ https://t.co/UJ4io7aHLg",positif
81,windy wardani,"Vaksin Covid19 Produksi Sinovac Suci dan Halal
#vaksin #sinovachalal #vaksÃ¬ncovid19 #vaksingratisutkrakyatâ€¦ https://t.co/E6SkG7VDLq",positif
82,gopos.id,"Selain memberi dukungan, para anggota legislatif (aleg) bersedia menjadi kelompok pertama yang menjalani vaksinasiâ€¦ https://t.co/f6s8OJMScU",positif
83,Paket~Kilat~Harga~EkonomisðŸ”ƒ,Badan POM Akhirnya Resmi Keluarkan Emergency Use Authorization atau Persetujuan penggunaan dalam kondisi kedarurataâ€¦ https://t.co/ZL7mfviKXe,positif
84,VIVAcoid,"Jelang vaksinasi yang dimulai 13 Januari 2021, izin penggunaan darurat vaksin tersebut sudah dikeluarkan.â€¦ https://t.co/y0qxIaVEcc",positif
85,Majelis Ulama Indonesia,"BPOM (@BPOM_RI) Terbitkan EUA, Komisi Fatwa MUI: Vaksin Sinovac Halal dan Boleh Digunakan Muslimâ€¦ https://t.co/ziehQuSiT5",positif
86,Ayu Mashari,"""Vaksin bukan tiket aman COVID ya gaes, masih ada kemungkinan kita kena (kayak orang yg udah vaksin cacar air, teteâ€¦ https://t.co/aJBW79wLZt",positif
87,Borneo Idaman,"Vaksin Sinovac Tiba di Yogya, Vaksinasi direncanakan pada Tanggal 14 Januari #vaksin #covid19 #indonesiasehat https://t.co/hxSFREY0AC",positif
88,Lampung Post (Official),"Rumah Sakit Pendidikan (RSP) Unila merawat 9 pasien covid-19 tanpa gejala. 
#COVID19 #Rapidtest #rapidtestantigenâ€¦ https://t.co/klwHcAFEzb",positif
89,Validnews Indonesia,"(THREAD)

Beberapa negara sudah mulai menyuntikkan vaksin untuk menghentikan virus corona. Indonesia masih dalam peâ€¦ https://t.co/LGMpbGwxKd",positif
90,Validnews Indonesia,Belakangan kita disibukkan memilih vaksin apa yang paling baik. Atau siapa kelompok yang paling pantas diprioritaskâ€¦ https://t.co/swOGQYgWg3,positif
91,Kaltim Official,Pemerintah berupaya keras mengantisipasi supaya virus corona varian baru tidak sampai ke Indonesia tercinta.â€¦ https://t.co/ubPHlHHH6Y,positif
92,iNews,"Saksikan iNews Malam ""BPOM Keluarkan Izin Vaksin COVID-19"" sekarang, hanya di iNews!

#iNews #iNewsMalam #vaksinâ€¦ https://t.co/MhMVaMmUqI",positif
93,newsmerahputih,"Harus berjalan efektif, pemerintah akan memulai program vaksinasi COVID-19 pada 13 Januari mendatang.â€¦ https://t.co/vWp0kXRUYZ",positif
94,GenPI.co,"Jelang dua hari sebelum vaksinasi tahap pertama dilakukan, Badan POM akhirnya mengeluarkan izin Emergency use authoâ€¦ https://t.co/FIDndjwfbZ",positif
95,iNews.id,"BPOM akhirnya mengeluarkan izin edar vaksin Covid-19 Sinovac. 

#Vaksin #Sinovac #BPOM 

https://t.co/HneLTmjvkP",positif
96,GenPI.co,Badan Pengawas Obat dan Makanan (BPOM) akhirnya mengeluarkan izin penggunaan darurat vaksin atau emergency use authâ€¦ https://t.co/czTzqnzLzw,positif
97,Lampung Post (Official),"Majelis Ulama Indonesia (MUI) mengeluarkan fatwa halal terhadap vaksin Covid-19 produksi Sinovac, Tiongkok, yang diâ€¦ https://t.co/3wQ9xF4g1g",positif
98,Lampung Post (Official),BPOM resmi mengeluarkan izin darurat atau emergency user authorization (UEA) untuk vaksin Covid-19 buatan Sinovac.â€¦ https://t.co/qzvBQmqBZD,positif
99,parade.id,"Alasan Darurat, BPOM Setuju Penggunaan Vaksin Sinovac

https://t.co/VcUwBjAi2G

#Nasional #Kesehatan #BPOM #Covid_19 #Vaksin",positif
100,BaBe - Baca Berita,"Dapat Izin Darurat BPOM, Vaksin Sinovac Siap Disuntikkan ke Jokowi 13 Januari #Vaksin #BudiGunadiSadikin #BadanPOMâ€¦ https://t.co/mQ7gTgI0xR",positif
101,Belajar Saham,"Temen"" gimana nih? Vaksin sudah dapat izin dari BPOM. Tentunya itu akan jadi sentimen positif untuk saham-saham farâ€¦ https://t.co/cEx1mz9KL7",positif
102,Majelis Ulama Indonesia,"MUI Terbitkan Fatwa Covid-19 Sinovac, Ini Redaksi Lengkapnya https://t.co/6G7nF9aScb

#vaksin #halal #COVID19 #muipusat #fatwaMUI #sinovac",positif
103,Prokom Kukar,"Pendapat Prof. Dr. dr. Cissy, Guru Besar, dst.
Tegaskan Vaksin Covid 19 aman digunakan.

#vaksin
#COVID19â€¦ https://t.co/fLxA8dSZPK",positif
104,BaBe - Baca Berita,Wakil Gubernur NTT Positif COVID-19 #wakilgubernur #Karantina #NusaTenggaraTimur #Vaksin #ViktorLaiskodatâ€¦ https://t.co/hOoTmIUPW0,positif
105,Febri Aryanto,"Jika vaksin hendak di edarkan hrus msuk bpom di cek scra ktat hlal hram nya jgn smpai org brpkir yg tdk"" &amp; jgn jdikâ€¦ https://t.co/zPTLluxu88",positif
106,Get VaccsðŸ’‰,Halo semuanya! Hari ini Get Vaccs mau kasih informasi ke kalian tentang vaksinasi pada anak. Udah pada divaksin belâ€¦ https://t.co/yslUcKwQ8y,positif
107,om_cusss,"Kami siap di encusss nganti ping 3

#vaksindatang
#coronailang
#alumnisma1pati #vaksÃ¬ncovid19â€¦ https://t.co/JOVwVOK8Sn",positif
108,sukabumiNews.netâ„¢,ðŸ“· Kepala Dinas (Kadis) Kesehatan Kabupaten Sukabumi H. Harun Al Rasyid mengatakan bahwa diperlukan suatu penangananâ€¦ https://t.co/c9pu2h575M,positif
109,Bela Indi Sulistio,"Vaksinasi Mengakhiri Pandemi Covid-19 Menuju Herd Immunity 

#rapidantibodi
#rapidantigen
#swabPCR
#vaksin
ðŸ™ðŸ™ðŸ™ https://t.co/vOE3OWNpK8",positif
110,#AkunResmiBalai,"Asrorun Niam Sholeh dari MUI menyampaikan setelah mendapatkan UEA dari Badan POM, MUI akan melakukan finalisasi fatâ€¦ https://t.co/tou1BXWZrU",positif
111,MasTON,"Vaksin kan obat pencegah kan kayak imunisasi.
Bukan obat penyembuh kayak mixagrib atau ultraaflu atau panasdol.
Tetâ€¦ https://t.co/yjP7LAXRpY",positif
112,Validnews Indonesia,"Ketua Umum Ikatan Dokter Indonesia (IDI), Daeng M. Faqih, mengimbau agar masyarakat menghentikan polemik seputar vaâ€¦ https://t.co/v53898Oe6C",positif
113,MariaMey,Badan pengawas obat dan makanan (BPOM) pada tgl 11 jan'21 telah memberikan persetujuan penggunaan dlm kondisi Emergâ€¦ https://t.co/TUgkjkQjFp,positif
114,BaBe - Baca Berita,"Vaksinasi Tahap Pertama di Jateng, akan Dilakukan di Semarang dan Solo #KabupatenSemarang #Vaksinasiâ€¦ https://t.co/ff6fq3k5iX",positif
115,áµ‡áµ‰CÌ¶hÌ¶rÌ¶iÌ¶sÌ¶tÌ¶tÌ¶pÌ¶sÌ¶,Menkes : Lansia Bisa Terima Vaksin Covid-19 Dari GAVI https://t.co/6vYsrDUiq3 #Vaksin #lansia #kemenkes #gavi,positif
116,BaBe - Baca Berita,"Terapkan PPKM, Warga Surabaya Diminta Tak Keluar Rumah Sendiri saat Malam #Tokokelontong #Virus #LetnanKolonelâ€¦ https://t.co/2CbcsP6Ctp",positif
117,Seputar Info Indonesia,"Dukung perlambat pandemi dengan siap divaksin.

#Covid19 #VirusCorona #SocialDistancing #PhysicalDistancingâ€¦ https://t.co/q7ojV6T9xh",positif
118,Ananda Jaya,"Vaksinnya lolos uji klinis

#Vaksin
#Pandemi 
#Indonesia 
#Virus
#IndonesiaKuat https://t.co/7esSuUMnoB",positif
119,Ananda Jaya,"Dipastikan aman

#Vaksin
#Pandemi 
#Indonesia 
#Virus
#IndonesiaKuat https://t.co/syJ5SezBM2",positif
120,Ananda Jaya,"Sudah sesuai dengan data yang ada

#Vaksin
#Pandemi 
#Indonesia 
#Virus
#IndonesiaKuat https://t.co/Vg97x5cDk7",positif
121,Ananda Jaya,"BPOM sudah izinkan penggunaan Vaksin

#Vaksin
#Pandemi 
#Indonesia 
#Virus
#IndonesiaKuat https://t.co/wdHmEm5qsG",positif
122,Ananda Jaya,"Sudah lolos Uji Klinis ya

#Vaksin
#Pandemi 
#Indonesia 
#Virus
#IndonesiaKuat https://t.co/Evbxh9clUq",positif
123,Kata Batam,"BPOM: Vaksin Sinovac Covid-19 Aman, MUI pun Resmi Keluarkan Fatwa Suci &amp; Halal
#Batam #Covid19 #Vaksinâ€¦ https://t.co/qWyBtTHL5c",positif
124,Pikiran Rakyat,"Setelah EUA Resmi Dikeluarkan BPOM, MUI Nyatakan Vaksin Covid-19 Buatan Tiongkok Sinovac Halal
#MUI #Vaksin #Halalâ€¦ https://t.co/7ImK132UG1",positif
125,Ahmad Ali,Kesediaan Presiden untuk menjadi yg pertama sebagai penerima #vaksin ini tentunya dimaksudkan agar rakyat Indonesiaâ€¦ https://t.co/pzodbeSlGM,positif
126,BaBe - Baca Berita,"Kemanjuran Vaksin Sinovac di Indonesia 65,3% Beda Dengan Hasil di Turki dan Brazil, Ini Sebabnya #Vaksin #Virusâ€¦ https://t.co/K0lPyHtnZU",positif
127,detakpos,BPOMÂ SetujuÂ Gunakan Vaksin COVID-19 Produksi Sinovac https://t.co/TeSkfZ5n9M #kemenkes #satgascovid19 #vaksinâ€¦ https://t.co/lG0hLQURJq,positif
128,Beritakitacoid,"Vaksinasi Covid di Lamsel Diperkirakan Akhir Januari Atau Awal Februari
https://t.co/a3xREsaRs2

#beritakitacoidâ€¦ https://t.co/UpkNiTpDzm",positif
129,Andre,"Berdasarkan Hasil Evaluasi Mutu BPOM, #Vaksin Covid-19 Produksi Sinovac, AMAN https://t.co/LAkFZ1O4R3",positif
130,Kraksaan Online Dot ID,Kabupaten Probolinggo Siap Laksanakan Vaksinasi Covid-19 https://t.co/jOV0gUkjgY #corona #COVID #vaksin,positif
131,IDN Globe,Kepala Badan POM mengatakan vaksin CoronaVac yang telah diuji klinis di Indonesia memenuhi persyaratan mendapatkanâ€¦ https://t.co/yXh04VdFuV,positif
132,NawaCita2024,"Walau sudah di #vaksin tetap wajib 3M

#vaksinuntukkita https://t.co/ZYRWMfKyIo",positif
133,IG - satukanalcom,"https://t.co/sLbZJ0n3EW, #Kediriâ€“ Alur pelayanan #Vaksinasi covid-19 Kota #Kediri, dilakukan mulai dari tahap Pendaâ€¦ https://t.co/YeTlhZYQPp",positif
134,NawaCita2024,Ayooo kita sukseskan #Vaksinasi #COVID19 https://t.co/flPJLh9EzH,positif
135,MNC Trijaya 104.6 FM,"Saksikan Live Press Conference mengenai Kedatangan Vaksin COVID-19 Tahap Ketiga. Selasa, 12 Januari 2021 Pukul 12.2â€¦ https://t.co/sQEeKFTOtI",positif
136,Rizal Ariyadi,"POLRES MERAUKE DAPAT 20 DOSIS VAKSIN ðŸ‡®ðŸ‡©ðŸ˜‡ #LawanCovid19 #Vaksin
https://t.co/fSMyqJ2Kxh",positif
137,Tari Anggraini,"POLRES MERAUKE DAPAT 20 DOSIS VAKSIN ðŸ‡®ðŸ‡©ðŸ˜‡ #LawanCovid19 #Vaksin
https://t.co/UybLCTWqsC",positif
138,Muhammadiyah,"Berdasarkan pertimbangan kemaslahatan umum, tingkat kedaruratan utama (martabat dlaruri) serta demi menyelamatkan kâ€¦ https://t.co/JZDZWRaaeg",positif
139,JIH | Rumah Sakit,"Home Service Rumah Sakit ""JIH"", lebih praktis, aman, nyaman, dan bebas antrian!

#AkuPilihJIH
#RumahSakitJIHâ€¦ https://t.co/oeZRXAmePM",positif
140,Rakyat Merdeka,"Top News Koran Rakyat Merdeka

Bismillah, Vaksinasi Covid Dimulai Besok 
Kalau Mencret-mencret, Jangan Kaget Dan Paâ€¦ https://t.co/HXiPs7nVYs",positif
141,Batam Pos,"IDI: Stop Polemik, Nakes Jangan Takut Divaksin Covid-19 https://t.co/ervjiyO2NN via @harianbatampos 

#COVID19 #Vaksin",positif
142,Arnold Mamesah MA,Eforia #vaksin menuju Herd Immunity dengan berpikir kritis dan jernih - perjalanan panjang COVID-19 tidak segera beâ€¦ https://t.co/K7yF6RwqoR,positif
143,PMJNEWS,"BPOM Terbitkan EUA, IDI: Hentikan Polemik Soal Vaksin Sinovac
https://t.co/DE3lrxyOTz 
#BPOM #EUA #vaksin #COVID19",positif
144,BaBe - Baca Berita,"Daftar Efikasi Vaksin Covid-19, Sinovac Ungguli AstraZeneca Dosis Normal #Vaksin #Epidemiologi #TenagaKesehatanâ€¦ https://t.co/AowXma3ysV",positif
145,Prokom Kukar,"Pendapat Prof. Dr. dr. Cissy, Guru Besar, dst.
Tegaskan Vaksin Covid 19 aman digunakan.

#vaksin
#COVID19â€¦ https://t.co/1XfiLryDPh",positif
146,áµ‡áµ‰CÌ¶hÌ¶rÌ¶iÌ¶sÌ¶tÌ¶tÌ¶pÌ¶sÌ¶,DKP2KB : Setelah Divaksin Dilarang Langsung Pulang https://t.co/0FmhIff4gN #dkp2kb #Vaksin #nakes #kesehatan #Covid_19,positif
147,InfoImunisasi,"HALAL sudah, BPOM sudah, entaskan polemik, saatnya vaksinasi untuk herd immunity #VaksinHalal #Vaksin https://t.co/OGmMX9lxoU",positif
