No,user_name,text,label,lowercase,remove,tweet_clean
11,lemahku,"https://t.co/Te1d94JHHM
Siap menerima vaksin covid 19

#vaksinhalal
#vaksinsiap34propinsi
#vaksicovid19
#jokowidodoâ€¦ https://t.co/zinsBbp9Hn",positif,"https://t.co/te1d94jhhm
siap menerima vaksin covid 19

#vaksinhalal
#vaksinsiap34propinsi
#vaksicovid19
#jokowidodoâ€¦ https://t.co/zinsbbp9hn",siap menerima vaksin covid      ,"['menerima', 'vaksin', 'covid']"
12,BaBe - Baca Berita,Apa Perbedaan Vaksin China Sinovac dan Sinopharm serta Merek Lain? #Vaksin #Perusahaanfarmasi #Virus #Farmasiâ€¦ https://t.co/rJ2Ltk3vGz,positif,apa perbedaan vaksin china sinovac dan sinopharm serta merek lain? #vaksin #perusahaanfarmasi #virus #farmasiâ€¦ https://t.co/rj2ltk3vgz,apa perbedaan vaksin china sinovac dan sinopharm serta merek lain ,"['perbedaan', 'vaksin', 'china', 'sinovac', 'sinopharm', 'merek']"
14,Randy Aldino,Masker bekas rawan tertular virus. Pakai masker baru utk mencegah secara maksimal penularan virus covid-19.â€¦ https://t.co/TF6sHl4GFd,positif,masker bekas rawan tertular virus. pakai masker baru utk mencegah secara maksimal penularan virus covid-19.â€¦ https://t.co/tf6shl4gfd,masker bekas rawan tertular virus pakai masker baru utk mencegah secara maksimal penularan virus covid ,"['masker', 'bekas', 'rawan', 'tertular', 'virus', 'pakai', 'masker', 'utk', 'mencegah', 'maksimal', 'penularan', 'virus', 'covid']"
15,BP2D Jabar | #75TahunJabar,"27 wakil supervisor kab/kota sudah terlatih, 67 rumah sakit umum di 27 kabupaten/kota sudah terlatih, 18 RS TNI, Poâ€¦ https://t.co/7yOtPQWOdW",positif,"27 wakil supervisor kab/kota sudah terlatih, 67 rumah sakit umum di 7 kabupaten/kota sudah terlatih, 18 rs tni, poâ€¦ https://t.co/7yotpqwodw", wakil supervisor kab/kota sudah terlatihrumah sakit umum dikabupaten/kota sudah terlatihrs tni po ,"['wakil', 'supervisor', 'kabkota', 'terlatihrumah', 'sakit', 'dikabupatenkota', 'terlatihrs', 'tni', 'po']"
16,Disperindag Prov. Jateng #jateng70 #hutri75,"Mengenal Vaksin Covid-19 !!
#vaksin
#vaksincorona https://t.co/H64BZ8tVoC",positif,"mengenal vaksin covid-19 !
#vaksin
#vaksincorona https://t.co/h64bz8tvoc",mengenal vaksin covid  ,"['mengenal', 'vaksin', 'covid']"
17,Rakyat Merdeka,"Top News Koran Rakyat Merdeka

Jelang Imlek 
China Target 50 Juta Warga Sudah Divaksin

#China #Imlek #Vaksinâ€¦ https://t.co/XPwhSIdP8r",positif,"top news koran rakyat merdeka

jelang imlek 
china target 50 juta warga sudah divaksin

#china #imlek #vaksinâ€¦ https://t.co/xpwhsidp8r",top news koran rakyat merdekajelang imlek china targetjuta warga sudah divaksin  ,"['top', 'news', 'koran', 'rakyat', 'merdekajelang', 'imlek', 'china', 'targetjuta', 'warga', 'divaksin']"
20,jabarprov.go.id | #75TahunJabar,"Sampurasun wargi jabar ðŸ™
.
Yuk wargi kita lihat daftar penyakit apa saja yang boleh terima vaksin covd-19 sinovac ðŸ˜Šâ€¦ https://t.co/BRgmNoipYl",positif,"sampurasun wargi jabar ðÿ™
.
yuk wargi kita lihat daftar penyakit apa saja yang boleh terima vaksin covd-19 sinovac ðÿ˜šâ€¦ https://t.co/brgmnoipyl",sampurasun wargi jabar yuk wargi kita lihat daftar penyakit apa saja yang boleh terima vaksin covd sinovac  ,"['sampurasun', 'wargi', 'jabar', 'yuk', 'wargi', 'lihat', 'daftar', 'penyakit', 'terima', 'vaksin', 'covd', 'sinovac']"
21,dinkes pati,"Mari siapkan diri untuk vaksinasi saat vaksin siap.

Tetap laksanakan protokol kesehatan 3M: Memakai masker denganâ€¦ https://t.co/fcXhku8aB8",positif,"mari siapkan diri untuk vaksinasi saat vaksin siap.

tetap laksanakan protokol kesehatan 3m: memakai masker denganâ€¦ https://t.co/fcxhku8ab8",mari siapkan diri untuk vaksinasi saat vaksin siaptetap laksanakan protokol kesehatan m memakai masker dengan ,"['mari', 'siapkan', 'vaksinasi', 'vaksin', 'siaptetap', 'laksanakan', 'protokol', 'kesehatan', 'm', 'memakai', 'masker']"
22,Ananda Jaya,"Vaksinya halal yaa

#Vaksin
#Pandemi 
#Indonesia 
#Virus
#IndonesiaKuat https://t.co/8X6flriIgM",positif,"vaksinya halal yaa

#vaksin
#pandemi 
#indonesia 
#virus
#indonesiakuat https://t.co/8x6flriigm",vaksinya halal yaa  ,"['vaksinya', 'halal', 'yaa']"
27,Balai Pustaka,"Jadi, #SobatBP sudah terima SMS dari Kemenkes sebagai salah satu penerima vaksin?

#vaksin #vaksinhalal #vaksinasiâ€¦ https://t.co/hNqrqrc2DE",positif,"jadi, #sobatbp sudah terima sms dari kemenkes sebagai salah satu penerima vaksin?

#vaksin #vaksinhalal #vaksinasiâ€¦ https://t.co/hnqrqrc2de",jadi sudah terima sms dari kemenkes sebagai salah satu penerima vaksin  ,"['terima', 'sms', 'kemenkes', 'salah', 'penerima', 'vaksin']"
29,CommunityID,"Hallo Teman Muda!

Vaksin Covid 19 menuai beberapa tanggapan pro dan kontra di masyarakat Indonesia. Teman Muda, Suâ€¦ https://t.co/Me5giOTl8d",positif,"hallo teman muda!

vaksin covid 19 menuai beberapa tanggapan pro dan kontra di masyarakat indonesia. teman muda, suâ€¦ https://t.co/me5giotl8d",hallo teman mudavaksin covidmenuai beberapa tanggapan pro dan kontra di masyarakat indonesia teman muda su ,"['hallo', 'teman', 'mudavaksin', 'covidmenuai', 'tanggapan', 'pro', 'kontra', 'masyarakat', 'indonesia', 'teman', 'muda', 'su']"
31,Pikiran Rakyat,"Berharap Tak Muncul Lagi Gelombang Pandemi, Tiongkok Gratiskan Vaksin Covid-19 untuk Warganya
#Pandemi #Tiongkokâ€¦ https://t.co/iSzjZMl244",positif,"berharap tak muncul lagi gelombang pandemi, tiongkok gratiskan vaksin covid-19 untuk warganya
#pandemi #tiongkokâ€¦ https://t.co/iszjzml244",berharap tak muncul lagi gelombang pandemi tiongkok gratiskan vaksin covid untuk warganya  ,"['berharap', 'muncul', 'gelombang', 'pandemi', 'tiongkok', 'gratiskan', 'vaksin', 'covid', 'warganya']"
33,Fedy F. Sarabiana,Dosen FISS UNPAS aing ini. Mantap pak @budi_dalton ðŸ˜‚ #Vaksin https://t.co/Co5ymTspJi,positif,dosen fiss unpas aing ini. mantap pak @budi_dalton ðÿ˜‚ #vaksin https://t.co/co5ymtspji,dosen fiss unpas aing ini mantap pak? ,"['dosen', 'fiss', 'unpas', 'aing', 'mantap']"
34,Redaksi Sinar Harapan,Mentri Koordinator (Menko) Bidang Kemaritiman dan Investasi Luhut Binsar Pandjaitan memastikan program vaksinasi COâ€¦ https://t.co/HuHt3R7MLo,positif,mentri koordinator menko) bidang kemaritiman dan investasi luhut binsar pandjaitan memastikan program vaksinasi coâ€¦ https://t.co/huht3r7mlo,mentri koordinator menko bidang kemaritiman dan investasi luhut binsar pandjaitan memastikan program vaksinasi co ,"['mentri', 'koordinator', 'menko', 'bidang', 'kemaritiman', 'investasi', 'luhut', 'binsar', 'pandjaitan', 'program', 'vaksinasi', 'co']"
35,NETRALNEWS,Pemerintah Indonesia diwakili Menteri Kesehatan Budi Gunadi Sadikin dan Menteri Keuangan Sri Mulyani telah menandaâ€¦ https://t.co/Giqe0PvvDu,positif,pemerintah indonesia diwakili menteri kesehatan budi gunadi sadikin dan menteri keuangan sri mulyani telah menandaâ€¦ https://t.co/giqe0pvvdu,pemerintah indonesia diwakili menteri kesehatan budi gunadi sadikin dan menteri keuangan sri mulyani telah menanda ,"['pemerintah', 'indonesia', 'diwakili', 'menteri', 'kesehatan', 'budi', 'gunadi', 'sadikin', 'menteri', 'keuangan', 'sri', 'mulyani', 'menanda']"
36,KITA Kerapatan Indonesia Tanah Air,"Part. VII

Imunisasi Menguatkan Generasi Bangsa

Imunisasi adalah bentuk upaya pemerintah Menguatkan Generasi penerâ€¦ https://t.co/y0h8BDR6cg",positif,"part. vii

imunisasi menguatkan generasi bangsa

imunisasi adalah bentuk upaya pemerintah menguatkan generasi penerâ€¦ https://t.co/y0h8bdr6cg",part viiimunisasi menguatkan generasi bangsaimunisasi adalah bentuk upaya pemerintah menguatkan generasi pener ,"['part', 'viiimunisasi', 'menguatkan', 'generasi', 'bangsaimunisasi', 'bentuk', 'upaya', 'pemerintah', 'menguatkan', 'generasi', 'pener']"
37,newsmerahputih,"MUI Pusat telah menetapkan bahwa vaksin COVID-19 produksi Sinovac halal dan suci.

#merahputihcom #MUI #vaksinâ€¦ https://t.co/71Q7GYIsOe",positif,"mui pusat telah menetapkan bahwa vaksin covid-19 produksi sinovac halal dan suci.

#merahputihcom #mui #vaksinâ€¦ https://t.co/71q7gyisoe",mui pusat telah menetapkan bahwa vaksin covid produksi sinovac halal dan suci  ,"['mui', 'pusat', 'menetapkan', 'vaksin', 'covid', 'produksi', 'sinovac', 'halal', 'suci']"
38,projer,"percaya vaksin akhiri pandemi

Hotline #Vaksin #Covid 

#IndonesiaMaju
#Jokowi 
#Jokowidodo https://t.co/XzbkPqonMa",positif,"percaya vaksin akhiri pandemi

hotline #vaksin #covid 

#indonesiamaju
#jokowi 
#jokowidodo https://t.co/xzbkpqonma",percaya vaksin akhiri pandemihotline  ,"['percaya', 'vaksin', 'pandemihotline']"
39,Geisha Ayu,Ayo Dukung!! Hidup sehat tanpa Covid-19 dengan melakukan vaksinasi covid-19 #vaksinasi https://t.co/1bcPaoTNmO,positif,ayo dukung!! hidup sehat tanpa covid-19 dengan melakukan vaksinasi covid-19 #vaksinasi https://t.co/1bcpaotnmo,ayo dukung hidup sehat tanpa covid dengan melakukan vaksinasi covid ,"['ayo', 'dukung', 'hidup', 'sehat', 'covid', 'vaksinasi', 'covid']"
40,Mia Amelia,Majelis Ulama endonesia psstikan vaksin Covid-19 dr sinovac halal n sucinya #vaksinasi https://t.co/VGCYWNRzAQ,positif,majelis ulama endonesia psstikan vaksin covid-19 dr sinovac halal n sucinya #vaksinasi https://t.co/vgcywnrzaq,majelis ulama endonesia psstikan vaksin covid dr sinovac halal n sucinya ,"['majelis', 'ulama', 'endonesia', 'psstikan', 'vaksin', 'covid', 'dr', 'sinovac', 'halal', 'n', 'sucinya']"
41,Deandra Putri,yuks suport !!hidupku sehad tnpa Covid-19 dngan mlkukn vaksinasi covid-19 #vaksinasi https://t.co/C4KBel70aQ,positif,yuks suport !hidupku sehad tnpa covid-19 dngan mlkukn vaksinasi covid-19 #vaksinasi https://t.co/c4kbel70aq,yuks suport hidupku sehad tnpa covid dngan mlkukn vaksinasi covid ,"['yuks', 'suport', 'hidupku', 'sehad', 'tnpa', 'covid', 'dngan', 'mlkukn', 'vaksinasi', 'covid']"
42,Jihan Keisha,yuks dkung !prgrm vaksinasi covid-19 spy wrga Sumut bbs dr covid-19 #vaksinasi https://t.co/bpiqbkortp,positif,yuks dkung prgrm vaksinasi covid-19 spy wrga sumut bbs dr covid-19 #vaksinasi https://t.co/bpiqbkortp,yuks dkung prgrm vaksinasi covid spy wrga sumut bbs dr covid ,"['yuks', 'dkung', 'prgrm', 'vaksinasi', 'covid', 'spy', 'wrga', 'sumut', 'bbs', 'dr', 'covid']"
43,Sukma Putri,necis ustazah Republik Indonesia yakinkan vaksin covid-19 dari sinovac resmi dan sakral #vaksinasi https://t.co/K1heB5DEhn,positif,necis ustazah republik indonesia yakinkan vaksin covid-19 dari sinovac resmi dan sakral #vaksinasi https://t.co/k1heb5dehn,necis ustazah republik indonesia yakinkan vaksin covid dari sinovac resmi dan sakral ,"['necis', 'ustazah', 'republik', 'indonesia', 'yakinkan', 'vaksin', 'covid', 'sinovac', 'resmi', 'sakral']"
44,Rania Putri,yuk bopong !!membesar waras minus covid-19 dengan melayani vaksinasi covid-19 #vaksinasi https://t.co/RvlhnrurxR,positif,yuk bopong !membesar waras minus covid-19 dengan melayani vaksinasi covid-19 #vaksinasi https://t.co/rvlhnrurxr,yuk bopong membesar waras minus covid dengan melayani vaksinasi covid ,"['yuk', 'bopong', 'membesar', 'waras', 'minus', 'covid', 'melayani', 'vaksinasi', 'covid']"
45,Rina Ayu,yuk bopong !agenda vaksinasi covid-19 biar orang Provinsi Sumatera Utara percuma dari covid-19 #vaksinasi https://t.co/hEPrVEffEY,positif,yuk bopong agenda vaksinasi covid-19 biar orang provinsi sumatera utara percuma dari covid-19 #vaksinasi https://t.co/heprveffey,yuk bopong agenda vaksinasi covid biar orang provinsi sumatera utara percuma dari covid ,"['yuk', 'bopong', 'agenda', 'vaksinasi', 'covid', 'biar', 'orang', 'provinsi', 'sumatera', 'utara', 'covid']"
46,Syasqia Ayu,Majelis Ulama endonesia psstikan vaksin Covid-19 dr sinovac halal dn sucinya #vaksinasi https://t.co/byJ4BWRgcP,positif,majelis ulama endonesia psstikan vaksin covid-19 dr sinovac halal dn sucinya #vaksinasi https://t.co/byj4bwrgcp,majelis ulama endonesia psstikan vaksin covid dr sinovac halal dn sucinya ,"['majelis', 'ulama', 'endonesia', 'psstikan', 'vaksin', 'covid', 'dr', 'sinovac', 'halal', 'dn', 'sucinya']"
47,Jeihani Putri,ayok support !!hidupku damang tampa Covid-19 dgan melakukn vaksinasi covid-19 #vaksinasi https://t.co/hijXVOGA7m,positif,ayok support !hidupku damang tampa covid-19 dgan melakukn vaksinasi covid-19 #vaksinasi https://t.co/hijxvoga7m,ayok support hidupku damang tampa covid dgan melakukn vaksinasi covid ,"['ayok', 'support', 'hidupku', 'damang', 'tampa', 'covid', 'dgan', 'melakukn', 'vaksinasi', 'covid']"
48,Ajeng Sunthi,nyok dkng !prgrm vaksinasi covid-19 spya wrga Sumut bbs dri covid-19 #vaksinasi https://t.co/Ca0viN8ilx,positif,nyok dkng prgrm vaksinasi covid-19 spya wrga sumut bbs dri covid-19 #vaksinasi https://t.co/ca0vin8ilx,nyok dkng prgrm vaksinasi covid spya wrga sumut bbs dri covid ,"['nyok', 'dkng', 'prgrm', 'vaksinasi', 'covid', 'spya', 'wrga', 'sumut', 'bbs', 'dri', 'covid']"
49,RMOL Jateng,"Soal Distribusi #Vaksin di #salatiga , Ketua DPRD Ingin Ada Simulasi #KlikRMOL 
https://t.co/lC6FYwysCz",positif,"soal distribusi #vaksin di #salatiga  ketua dprd ingin ada simulasi #klikrmol 
https://t.co/lc6fywyscz",soal distribusi diketua dprd ingin ada simulasi ,"['distribusi', 'diketua', 'dprd', 'simulasi']"
50,Erni Putri,marilah gendong !tata olah vaksinasi covid-19 biar kelompok Sumut sukarela dari covid-19 #vaksinasi https://t.co/oFdqOdrUSS,positif,marilah gendong tata olah vaksinasi covid-19 biar kelompok sumut sukarela dari covid-19 #vaksinasi https://t.co/ofdqodruss,marilah gendong tata olah vaksinasi covid biar kelompok sumut sukarela dari covid ,"['marilah', 'gendong', 'tata', 'olah', 'vaksinasi', 'covid', 'biar', 'kelompok', 'sumut', 'sukarela', 'covid']"
51,Zara Ayu,marilah bawa !!berjiwa bugar minus covid-19 dengan mengadakan vaksinasi covid-19 #vaksinasi https://t.co/zGhi5xc1e6,positif,marilah bawa !berjiwa bugar minus covid-19 dengan mengadakan vaksinasi covid-19 #vaksinasi https://t.co/zghi5xc1e6,marilah bawa berjiwa bugar minus covid dengan mengadakan vaksinasi covid ,"['marilah', 'bawa', 'berjiwa', 'bugar', 'minus', 'covid', 'mengadakan', 'vaksinasi', 'covid']"
52,Syifa Tiana,ayok dkng !!hidupku sehad tampa Covid-19 dgn mlkukn vaksinasi covid-19 #vaksinasi https://t.co/pHHSJt4OZp,positif,ayok dkng !hidupku sehad tampa covid-19 dgn mlkukn vaksinasi covid-19 #vaksinasi https://t.co/phhsjt4ozp,ayok dkng hidupku sehad tampa covid dgn mlkukn vaksinasi covid ,"['ayok', 'dkng', 'hidupku', 'sehad', 'tampa', 'covid', 'dgn', 'mlkukn', 'vaksinasi', 'covid']"
53,Hanifah Putri,cantik rohaniwan RI yakinkan vaksin covid-19 dari sinovac resmi dan nirmala #vaksinasi https://t.co/qa91nsAh6r,positif,cantik rohaniwan ri yakinkan vaksin covid-19 dari sinovac resmi dan nirmala #vaksinasi https://t.co/qa91nsah6r,cantik rohaniwan ri yakinkan vaksin covid dari sinovac resmi dan nirmala ,"['cantik', 'rohaniwan', 'ri', 'yakinkan', 'vaksin', 'covid', 'sinovac', 'resmi', 'nirmala']"
54,Gina Amelia,ayoo ndukung !prgrm vaksinasi covid-19 spya wargi Sumut bbs dri covid-19 #vaksinasi https://t.co/Ff7eBjmm5P,positif,ayoo ndukung prgrm vaksinasi covid-19 spya wargi sumut bbs dri covid-19 #vaksinasi https://t.co/ff7ebjmm5p,ayoo ndukung prgrm vaksinasi covid spya wargi sumut bbs dri covid ,"['ayoo', 'ndukung', 'prgrm', 'vaksinasi', 'covid', 'spya', 'wargi', 'sumut', 'bbs', 'dri', 'covid']"
55,Cika maulani,silAkan gendong !!bernapas afiat sonder covid-19 dengan melaksanAkan vaksinasi covid-19 #vaksinasi https://t.co/W3J9t1SSdN,positif,silakan gendong !bernapas afiat sonder covid-19 dengan melaksanakan vaksinasi covid-19 #vaksinasi https://t.co/w3j9t1ssdn,silakan gendong bernapas afiat sonder covid dengan melaksanakan vaksinasi covid ,"['silakan', 'gendong', 'bernapas', 'afiat', 'sonder', 'covid', 'melaksanakan', 'vaksinasi', 'covid']"
56,Hanin Dita,nyok suport !!hdup shat tampa Covid-19 dngan melakukn vaksinasi covid-19 #vaksinasi https://t.co/zoPQQaDLfg,positif,nyok suport !hdup shat tampa covid-19 dngan melakukn vaksinasi covid-19 #vaksinasi https://t.co/zopqqadlfg,nyok suport hdup shat tampa covid dngan melakukn vaksinasi covid ,"['nyok', 'suport', 'hdup', 'shat', 'tampa', 'covid', 'dngan', 'melakukn', 'vaksinasi', 'covid']"
59,MNC Trijaya 104.6 FM,Saksikan Live Press Conference dengan topik Hasil Evaluasi Uji Klinik Terkait Persetujuan Penggunaan Darurat/Ermegeâ€¦ https://t.co/It1ddIaEs8,positif,saksikan live press conference dengan topik hasil evaluasi uji klinik terkait persetujuan penggunaan darurat/ermegeâ€¦ https://t.co/it1ddiaes8,saksikan live press conference dengan topik hasil evaluasi uji klinik terkait persetujuan penggunaan darurat/ermege ,"['saksikan', 'live', 'press', 'conference', 'topik', 'hasil', 'evaluasi', 'uji', 'klinik', 'terkait', 'persetujuan', 'penggunaan', 'daruratermege']"
61,Berita Covid,"#Vaksinasi COVID-19 di Sumut dimulai dari Medan, Binjai dan Deliserdang - ANTARA #Covid #Covid19 https://t.co/CFUyHgVmxu",positif,"#vaksinasi covid-19 di sumut dimulai dari medan, binjai dan deliserdang - antara #covid #covid19 https://t.co/cfuyhgvmxu",covid di sumut dimulai dari medan binjai dan deliserdang  antara ,"['covid', 'sumut', 'medan', 'binjai', 'deliserdangantara']"
63,Indonesia Baik,"Hi sohIB!
Menurut petunjuk resmi pelaksanaan vaksinasi Covid-19, individu yg tlh divaksin disarankan tdk lgsg plg uâ€¦ https://t.co/YdM2MqgapZ",positif,"hi sohib!
menurut petunjuk resmi pelaksanaan vaksinasi covid-19, individu yg tlh divaksin disarankan tdk lgsg plg uâ€¦ https://t.co/ydm2mqgapz",hi sohibmenurut petunjuk resmi pelaksanaan vaksinasi covid individu yg tlh divaksin disarankan tdk lgsg plg u ,"['hi', 'sohibmenurut', 'petunjuk', 'resmi', 'pelaksanaan', 'vaksinasi', 'covid', 'individu', 'yg', 'tlh', 'divaksin', 'disarankan', 'tdk', 'lgsg', 'plg', 'u']"
65,Muhammadiyah,"Menurut @Abe_Mukti Muhammadiyah sendiri memiliki tiga sikap terkait program vaksinasi pemerintah. Pertama, Muhammaâ€¦ https://t.co/8JDdxsTkRb",positif,"menurut @abe_mukti muhammadiyah sendiri memiliki tiga sikap terkait program vaksinasi pemerintah. pertama, muhammaâ€¦ https://t.co/8jddxstkrb",menurutmuhammadiyah sendiri memiliki tiga sikap terkait program vaksinasi pemerintah pertama muhamma ,"['menurutmuhammadiyah', 'memiliki', 'sikap', 'terkait', 'program', 'vaksinasi', 'pemerintah', 'muhamma']"
69,Validnews Indonesia,"Insyaallah berita baik dari Badan Pengawas Obat dan Makanan (BPOM) juga bisa segera menyusul,"" ujar Budi Gunadi.â€¦ https://t.co/K7rMdy81Z6",positif,"insyaallah berita baik dari badan pengawas obat dan makanan bpom) juga bisa segera menyusul,"" ujar budi gunadi.â€¦ https://t.co/k7rmdy81z6",insyaallah berita baik dari badan pengawas obat dan makanan bpom juga bisa segera menyusul ujar budi gunadi ,"['insyaallah', 'berita', 'badan', 'pengawas', 'obat', 'makanan', 'bpom', 'menyusul', 'budi', 'gunadi']"
71,DW Indonesia,"21 Desember 2020, Badan Pengawas Obat Eropa (EMA) dan Komisi Eropa mengizinkan penggunaan #vaksin virus coronaâ€¦ https://t.co/y4ddLmGwL9",positif,"21 desember 020, badan pengawas obat eropa ema) dan komisi eropa mengizinkan penggunaan #vaksin virus coronaâ€¦ https://t.co/y4ddlmgwl9", desemberbadan pengawas obat eropa ema dan komisi eropa mengizinkan penggunaan virus corona ,"['desemberbadan', 'pengawas', 'obat', 'eropa', 'ema', 'komisi', 'eropa', 'mengizinkan', 'penggunaan', 'virus', 'corona']"
72,Eka Hospital,"Yuk cek faktanya seputar vaksin virus corona di IG Live Eka Hospital bersama @sinar_masid pada hari Rabu, 13 Januarâ€¦ https://t.co/0WO4Sfnje9",positif,"yuk cek faktanya seputar vaksin virus corona di ig live eka hospital bersama @sinar_masid pada hari rabu, 13 januarâ€¦ https://t.co/0wo4sfnje9",yuk cek faktanya seputar vaksin virus corona di ig live eka hospital bersamapada hari rabujanuar ,"['yuk', 'cek', 'faktanya', 'seputar', 'vaksin', 'virus', 'corona', 'ig', 'live', 'eka', 'hospital', 'bersamapada', 'rabujanuar']"
73,Independen.id,"BPOM Beri Izin Vaksin Sinovac dgn Efikasi 65,3% https://t.co/ernQoAgkmK #vaksin #COVID19",positif,"bpom beri izin vaksin sinovac dgn efikasi 65,3% https://t.co/ernqoagkmk #vaksin #covid19",bpom beri izin vaksin sinovac dgn efikasi % ,"['bpom', 'izin', 'vaksin', 'sinovac', 'dgn', 'efikasi']"
